Preguntas con respuestas idénticas:
The government should redistribute wealth from the rich to the poor. - El gobierno debería redistribuir la riqueza de los ricos entre los pobres. | Respuesta: de acuerdo / de acuerdo
Medically assisted suicide should be legal. - El suicidio con ayuda médica debería ser legal. | Respuesta: de acuerdo / de acuerdo
Homosexual couples should have all the same rights as heterosexual ones, including the right to adopt. - Las parejas homosexuales deberían tener exactamente los mismos derechos que las heterosexuales, incluyendo el derecho de adoptar. | Respuesta: totalmente de acuerdo / totalmente de acuerdo
Rehabilitating criminals is more important than punishing them. - Rehabilitar a los criminales es más importante que castigarlos. | Respuesta: de acuerdo / de acuerdo
Marijuana should be legal. - La marihuana debería ser legal. | Respuesta: de acuerdo / de acuerdo
Surveillance and counter-terrorism programs have gone too far. - Los programas de supervisión y antiterroristas han ido demasiado lejos. | Respuesta: de acuerdo / de acuerdo
If an immigrant wants to fly the flag of his home country on my country's soil, that's okay with me. - Yo opino que está bien si un inmigrante quiere izar la bandera de su país en el mío. | Respuesta: de acuerdo / de acuerdo
It is legitimate for nations to privilege their own religion over others. - Es legítimo que los países favorezcan su propia religión antes que las de los demás. | Respuesta: totalmente en desacuerdo / totalmente en desacuerdo
Government spending with the aim of creating jobs is generally a good idea. - El gasto público con la intención de crear trabajos generalmente es una buena idea. | Respuesta: de acuerdo / de acuerdo
We need to increase taxes on industry out of concern for the climate. - Necesitamos aumentar las sanciones a quienes dañan el medio ambiente. | Respuesta: de acuerdo / de acuerdo
A country should never go to war without the support of the international community. - Un país no debería ir a la guerra sin el apoyo de la comunidad internacional. | Respuesta: de acuerdo / de acuerdo
Some peoples and religions are generally more trouble than others. - Algunos pueblos y religiones son más problemáticos que otros. | Respuesta: totalmente en desacuerdo / totalmente en desacuerdo
Equality is more important than economic growth. - La igualdad es más importante que el crecimiento económico. | Respuesta: de acuerdo / de acuerdo
My country should give more foreign and developmental aid to third-world countries. - Mi país debería dar más ayuda económica y de desarrollo a los países del tercer mundo. | Respuesta: de acuerdo / de acuerdo
